locale_idlocale,locale_idcity,locale_capital,locale_idcountry,locale_ac,locale_country,locale_uf,locale_city,locale_region,locale_seaside,locale_latitude,locale_longitude,locale_tourist,locale_agricultural,locale_base,weather_id,weather_name,weather_date,weather_dayWeek,weather_dateUpdate,weather_temperature,weather_windVelocity,weather_windDirection,weather_windDirectionDegrees,weather_humidity,weather_condition,weather_pressure,weather_icon,weather_sensation,weather_slugCondition
6726,4236,False,7,BR,Brasil,PR,Coronel Domingos Soares,S,False,-26.228,-52.032,False,False,cities,6726,Coronel Domingos Soares,09/09/2026,Quarta-feira,11:09:00,13,2,ENE,61,59,Nublado,1018,3,12,nublado
6727,2826,False,7,BR,Brasil,PR,Coronel Vivida,S,False,-25.98,-52.568,False,False,cities,6727,Coronel Vivida,09/09/2026,Quarta-feira,11:09:00,16,2,ENE,59,69,Nublado,1016,3,15,nublado
6728,4239,False,7,BR,Brasil,PR,Corumbataí do Sul,S,False,-24.101,-52.12,False,False,cities,6728,Corumbataí do Sul,09/09/2026,Quarta-feira,11:09:00,17,8,ENE,70,75,Nublado,1018,3,16,nublado
3186,3350,False,7,BR,Brasil,PR,Cruz Machado,S,False,-26.017,-51.347,False,True,cities,3186,Cruz Machado,09/09/2026,Quarta-feira,11:09:00,14,2,ENE,62,68,Nublado,1019,3,14,nublado
6729,4240,False,7,BR,Brasil,PR,Cruzeiro do Iguaçu,S,False,-25.616,-53.128,False,False,cities,6729,Cruzeiro do Iguaçu,09/09/2026,Quarta-feira,10:24:00,17,3,ENE,60,75,Nublado,1016,3,17,nublado
3215,3422,False,7,BR,Brasil,PR,Cruzeiro do Oeste,S,False,-23.785,-53.073,False,False,cities,3215,Cruzeiro do Oeste,09/09/2026,Quarta-feira,10:24:00,18,10,ENE,73,79,Nublado,1016,3,18,nublado
3250,3510,False,7,BR,Brasil,PR,Cruzeiro do Sul,S,False,-22.962,-52.161,False,False,cities,3250,Cruzeiro do Sul,09/09/2026,Quarta-feira,10:24:00,18,11,E,80,82,Nublado,1017,3,18,nublado
6730,4241,False,7,BR,Brasil,PR,Cruzmaltina,S,False,-24.013,-51.459,False,False,cities,6730,Cruzmaltina,09/09/2026,Quarta-feira,10:24:00,16,8,ENE,73,75,Nublado,1018,3,16,nublado
6731,271,True,7,BR,Brasil,PR,Curitiba,S,False,-25.449,-49.231,True,False,cities,6731,Curitiba,09/09/2026,Quarta-feira,11:09:00,15,4,N,0,67,Chuvoso,1019,5,14,chuvoso
6732,3136,False,7,BR,Brasil,PR,Curiúva,S,False,-24.032,-50.458,False,False,cities,6732,Curiúva,09/09/2026,Quarta-feira,11:09:00,15,7,E,80,70,Nublado,1018,3,14,nublado
6706,4242,False,7,BR,Brasil,PR,Cândido de Abreu,S,False,-24.567,-51.333,False,True,cities,6706,Cândido de Abreu,09/09/2026,Quarta-feira,10:24:00,15,4,ENE,66,76,Nublado,1018,3,14,nublado
6716,2827,False,7,BR,Brasil,PR,Céu Azul,S,False,-25.147,-53.849,False,True,cities,6716,Céu Azul,09/09/2026,Quarta-feira,11:09:00,16,9,ENE,64,70,Nublado,1016,3,15,nublado
6733,6823,False,7,BR,Brasil,PR,Dez de Maio,S,False,-24.689,-53.917,False,False,cities,6733,Dez de Maio,09/09/2026,Quarta-feira,10:24:00,18,7,ENE,66,76,Sol com muitas nuvens,1016,2r,17,sol-com-muitas-nuvens
6734,4243,False,7,BR,Brasil,PR,Diamante d'Oeste,S,False,-24.943,-54.103,False,False,cities,6734,Diamante d'Oeste,09/09/2026,Quarta-feira,10:24:00,18,7,ENE,65,79,Nublado,1016,3,18,nublado
6735,4244,False,7,BR,Brasil,PR,Diamante do Norte,S,False,-22.656,-52.86,False,False,cities,6735,Diamante do Norte,09/09/2026,Quarta-feira,10:24:00,20,9,E,81,89,Chuvoso,1016,5,21,chuvoso
6740,4245,False,7,BR,Brasil,PR,Diamante do Sul,S,False,-25.043,-52.68,False,False,cities,6740,Diamante do Sul,09/09/2026,Quarta-feira,11:09:00,16,6,ENE,63,76,Nublado,1017,3,15,nublado
6741,1309,False,7,BR,Brasil,PR,Dois Vizinhos,S,False,-25.734,-53.057,False,False,cities,6741,Dois Vizinhos,09/09/2026,Quarta-feira,10:24:00,16,3,WSW,239,72,Nublado,1017,3,16,nublado
6742,6933,False,7,BR,Brasil,PR,Dorizon,S,False,-25.949,-50.848,False,False,cities,6742,Dorizon,09/09/2026,Quarta-feira,10:24:00,13,2,ENE,64,71,Nublado,1019,3,12,nublado
3244,3493,False,7,BR,Brasil,PR,Douradina,S,False,-23.381,-53.292,False,False,cities,3244,Douradina,09/09/2026,Quarta-feira,11:09:00,19,9,ENE,75,84,Nublado,1016,3,19,nublado
6743,6875,False,7,BR,Brasil,PR,Doutor Antônio Paranhos,S,False,-25.609,-53.011,False,False,cities,6743,Doutor Antônio Paranhos,09/09/2026,Quarta-feira,11:09:00,16,3,ENE,60,74,Nublado,1016,3,16,nublado
6744,2828,False,7,BR,Brasil,PR,Doutor Camargo,S,False,-23.556,-52.218,False,True,cities,6744,Doutor Camargo,09/09/2026,Quarta-feira,10:24:00,19,14,ENE,76,82,Nublado,1017,3,18,nublado
6745,4246,False,7,BR,Brasil,PR,Doutor Ulysses,S,False,-24.568,-49.42,False,False,cities,6745,Doutor Ulysses,09/09/2026,Quarta-feira,10:24:00,13,4,E,81,69,Sol com muitas nuvens,1019,2r,12,sol-com-muitas-nuvens
6746,6824,False,7,BR,Brasil,PR,Encantado d'Oeste,S,False,-24.413,-53.652,False,False,cities,6746,Encantado d'Oeste,09/09/2026,Quarta-feira,11:09:00,18,8,ENE,69,81,Sol com muitas nuvens,1016,2r,18,sol-com-muitas-nuvens
6747,2829,False,7,BR,Brasil,PR,Engenheiro Beltrão,S,False,-23.797,-52.269,False,True,cities,6747,Engenheiro Beltrão,09/09/2026,Quarta-feira,10:24:00,18,12,ENE,73,81,Nublado,1017,3,17,nublado
6762,6774,False,7,BR,Brasil,PR,Entre Rios,S,False,-25.589,-51.673,False,False,cities,6762,Entre Rios,09/09/2026,Quarta-feira,11:09:00,15,3,ENE,61,69,Nublado,1018,3,14,nublado
6748,2830,False,7,BR,Brasil,PR,Entre Rios do Oeste,S,False,-24.704,-54.2,False,True,cities,6748,Entre Rios do Oeste,09/09/2026,Quarta-feira,10:24:00,18,5,ENE,66,82,Sol com muitas nuvens,1015,2r,19,sol-com-muitas-nuvens
3463,4247,False,7,BR,Brasil,PR,Enéas Marques,S,False,-25.942,-53.164,False,False,cities,3463,Enéas Marques,09/09/2026,Quarta-feira,10:24:00,15,3,ENE,59,65,Nublado,1017,3,14,nublado
6764,4950,False,7,BR,Brasil,PR,Espigão Alto do Iguaçu,S,False,-25.424,-52.836,False,False,cities,6764,Espigão Alto do Iguaçu,09/09/2026,Quarta-feira,10:24:00,16,4,ENE,61,72,Nublado,1015,3,15,nublado
6766,2831,False,7,BR,Brasil,PR,Farol,S,False,-24.1,-52.623,False,False,cities,6766,Farol,09/09/2026,Quarta-feira,11:09:00,17,9,ENE,69,75,Nublado,1017,3,16,nublado
6768,2832,False,7,BR,Brasil,PR,Faxinal,S,False,-24.0,-51.319,False,False,cities,6768,Faxinal,09/09/2026,Quarta-feira,10:24:00,16,7,ENE,74,71,Nublado,1018,3,15,nublado
6767,5279,False,7,BR,Brasil,PR,Faxinal do Céu,S,False,-25.906,-51.596,False,False,cities,6767,Faxinal do Céu,09/09/2026,Quarta-feira,11:09:00,13,2,ENE,62,60,Nublado,1018,3,12,nublado
6769,4249,False,7,BR,Brasil,PR,Fazenda Rio Grande,S,False,-25.657,-49.308,False,False,cities,6769,Fazenda Rio Grande,09/09/2026,Quarta-feira,10:24:00,15,3,ENE,77,67,Chuva e trovoadas,1019,6,14,chuva-e-trovoadas
6771,4250,False,7,BR,Brasil,PR,Fernandes Pinheiro,S,False,-25.413,-50.547,False,True,cities,6771,Fernandes Pinheiro,09/09/2026,Quarta-feira,10:24:00,15,1,ENE,68,69,Nublado,1019,3,14,nublado
6772,4251,False,7,BR,Brasil,PR,Figueira,S,False,-23.849,-50.403,False,False,cities,6772,Figueira,09/09/2026,Quarta-feira,10:24:00,16,7,E,80,76,Nublado,1018,3,16,nublado
6774,4252,False,7,BR,Brasil,PR,Flor da Serra do Sul,S,False,-26.26,-53.304,False,False,cities,6774,Flor da Serra do Sul,09/09/2026,Quarta-feira,11:09:00,15,4,ENE,58,61,Nublado,1017,3,14,nublado
